phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,46.81041472727851,14.511228565456339,0.3620829454557026,0.9,1.2,-0.5379170545442975,critical,1.648877143454366,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,98,83.50368797001018
Address,address,posture,spine_angle,100.0,54.0,4.767977710072179,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,98,83.50368797001018
Address,address,grip,wrist_angle,100.0,15.0,176.92346959771535,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",98,83.50368797001018
Takeaway,takeaway,hip_lag,x_factor,94.14106843660761,47.070534218303806,0.8828213687321522,1.0,10.0,-0.11717863126784778,strength,0.23435726253569555,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,114,97.04935990326403
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,179.47703546997425,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,114,97.04935990326403
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,177.15043624479983,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,114,97.04935990326403
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.010382212568231379,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,114,97.04935990326403
Mid-backswing,mid_backswing,coil,x_factor,59.54875305684837,17.86462591705451,0.38195012227393477,2.0,14.0,-1.6180498777260652,critical,1.5775986307829135,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,121,77.83587751424936
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,154.40671824998853,155.0,180.0,-0.5932817500114709,critical,1.3,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,121,77.83587751424936
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,178.10164860001905,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,121,77.83587751424936
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,168.7671469375308,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,121,77.83587751424936
Top,top,coil,shoulder_rotation,50.0,17.5,178.21521560018476,170.0,185.0,0.0,critical,1.4,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,135,79.5249354119361
Top,top,posture,spine_angle,85.6036164333717,17.12072328667434,-11.455132055990791,-8.0,12.0,-3.4551320559907914,minor,0.23034213706605283,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,135,79.5249354119361
Top,top,stability,head_displacement,100.0,25.0,0.030342332782920332,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,135,79.5249354119361
Top,top,wrist_angle,wrist_angle,100.0,20.0,173.65553681210227,130.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,135,79.5249354119361
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,50.0,7.5,,75.0,100.0,,critical,1.875,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,139,89.11588031234038
Mid-downswing,mid_downswing,upper_body_lag,x_factor,88.71960104113458,26.615880312340373,1.7281714925280482,0.0,5.0,0.0,minor,0.8460299219149064,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,139,89.11588031234038
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,165.2665136378651,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,139,89.11588031234038
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,179.16403794866062,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,139,89.11588031234038
Impact,impact,arm_extension,lead_arm_angle,50.0,15.0,142.90656318644773,155.0,175.0,-12.093436813552273,critical,4.5,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,141,85.0
Impact,impact,lag_release,lag_angle,100.0,1.0,169.4534682260984,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,141,85.0
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,3.7115152789609738,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,141,85.0
Impact,impact,wrist_angle,wrist_angle,100.0,11.0,169.4534682260984,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,141,85.0
Impact,impact,stability,head_displacement,100.0,13.0,0.0074096047695461735,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",141,85.0
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,4.859907069559881,10.0,20.0,-5.140092930440119,critical,0.25,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,142,94.838361265117
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-2.832753639890547,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,142,94.838361265117
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,164.62347903149342,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,142,94.838361265117
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,177.1176389292662,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,142,94.838361265117
Finish,finish,symmetry,x_factor,0.0,0.0,161.04398534077728,0.0,6.0,155.04398534077728,critical,0.2,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,151,79.8142440982724
Finish,finish,balance,head_displacement,100.0,35.0,0.04382839665211341,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,151,79.8142440982724
Finish,finish,posture,spine_angle,100.0,25.0,-0.46972069386081133,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,151,79.8142440982724
Finish,finish,rotation,hip_rotation,100.0,20.0,174.50356432003386,160.0,175.0,0.0,strength,0.0,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,151,79.8142440982724
