phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.3434496412350247,0.9,1.2,0.1434496412350248,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,81,83.33333333333331
Address,address,posture,spine_angle,100.0,25.0,8.623678488288792,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,81,83.33333333333331
Address,address,grip,wrist_angle,100.0,15.0,176.1690661566563,145.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",81,83.33333333333331
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,50.0,15.0,170.78149574809402,5.0,25.0,145.78149574809402,critical,1.2,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,163,85.0
Takeaway,takeaway,hip_lag,x_factor,100.0,25.0,5.634343858032992,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,163,85.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,20.0,176.03990743683187,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,163,85.0
Takeaway,takeaway,club_path,head_displacement,100.0,25.0,0.0038133746910108974,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,163,85.0
Mid-backswing,mid_backswing,coil,x_factor,63.95771662393557,19.18731498718067,0.5583086649574227,2.0,14.0,-1.4416913350425773,moderate,0.5406342506409665,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,169,89.18731498718067
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,179.32689969557742,155.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,169,89.18731498718067
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,166.918965853279,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,169,89.18731498718067
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,164.89959448140962,150.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,169,89.18731498718067
Top,top,coil,shoulder_rotation,0.0,0.0,1.7009820794874622,155.0,185.0,-153.29901792051254,critical,2.8,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,177,65.0
Top,top,posture,spine_angle,100.0,20.0,-6.337293669364177,-8.0,12.0,0.0,strength,0.0,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,177,65.0
Top,top,stability,head_displacement,100.0,25.0,0.044766004118548745,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,177,65.0
Top,top,wrist_angle,wrist_angle,100.0,20.0,169.27174930740438,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,177,65.0
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,50.0,7.5,,75.0,100.0,,critical,1.875,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,184,85.0
Mid-downswing,mid_downswing,upper_body_lag,x_factor,75.0,22.5,3.144657172725829,3.0,15.0,0.0,minor,1.875,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,184,85.0
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,171.27793228616775,150.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,184,85.0
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,178.12161321161526,160.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,184,85.0
Impact,impact,arm_extension,lead_arm_angle,50.0,12.5,154.32139106928108,160.0,180.0,-5.678608930718923,critical,3.75,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,187,87.50000000000001
Impact,impact,lag_release,lag_angle,100.0,5.0,169.148260881481,150.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,187,87.50000000000001
Impact,impact,x_factor_unwind,x_factor,100.0,35.0,5.160392033086396,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,187,87.50000000000001
Impact,impact,wrist_angle,wrist_angle,100.0,20.0,169.148260881481,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,187,87.50000000000001
Impact,impact,stability,head_displacement,100.0,15.0,0.023945530999165864,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",187,87.50000000000001
Follow-through,follow_through,rotation,hip_rotation,0.0,0.0,19.444878615758903,160.0,185.0,-140.5551213842411,critical,2.5,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,193,70.0
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,13.755232162425903,0.0,10.0,3.7552321624259033,critical,0.5,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,193,70.0
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-22.746857129219794,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,193,70.0
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,160.52023862146734,120.0,170.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,193,70.0
Finish,finish,symmetry,x_factor,0.0,0.0,158.84753276348167,0.0,6.0,152.84753276348167,critical,0.8,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,214,80.0
