phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.5843831679294285,0.9,1.2,0.3843831679294285,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,60,84.61538461538463
Address,address,posture,spine_angle,100.0,35.0,0.7256920980889416,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,60,84.61538461538463
Address,address,grip,wrist_angle,100.0,10.0,172.1573772822471,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",60,84.61538461538463
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,172.62010638955448,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,79,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,4.2183367512949985,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,79,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,175.06079464320274,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,79,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.01076908272253233,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,79,100.0
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,2.7570034210530423,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,85,100.0
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,173.2077184050539,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,85,100.0
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,177.44787628339975,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,85,100.0
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,157.3730396599345,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,85,100.0
Top,top,coil,shoulder_rotation,0.0,0.0,4.961645691314282,170.0,185.0,-165.0383543086857,critical,2.8,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,99,65.0
Top,top,posture,spine_angle,100.0,20.0,-1.7213897646731273,-8.0,12.0,0.0,strength,0.0,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,99,65.0
Top,top,stability,head_displacement,100.0,25.0,0.012872320262255148,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,99,65.0
Top,top,wrist_angle,wrist_angle,100.0,20.0,171.3570532400353,145.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,99,65.0
Mid-downswing,mid_downswing,upper_body_lag,x_factor,50.0,15.0,5.992715191542231,0.0,5.0,0.9927151915422314,critical,3.75,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,103,80.0
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,66.66666666666666,9.999999999999998,,75.0,100.0,,moderate,1.2500000000000002,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,103,80.0
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,179.54154191620538,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,103,80.0
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,174.84429851795966,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,103,80.0
Impact,impact,x_factor_unwind,x_factor,45.87586860601215,20.644140872705467,20.62482627879757,0.0,18.0,2.6248262787975705,critical,7.30675773818836,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,106,75.64414087270546
Impact,impact,lag_release,lag_angle,100.0,2.0,169.72248816907097,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,106,75.64414087270546
Impact,impact,arm_extension,lead_arm_angle,100.0,30.0,165.0072155295588,155.0,175.0,0.0,strength,0.0,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,106,75.64414087270546
Impact,impact,wrist_angle,wrist_angle,100.0,10.0,169.72248816907097,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,106,75.64414087270546
Impact,impact,stability,head_displacement,100.0,13.0,0.0012441533936509092,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",106,75.64414087270546
Follow-through,follow_through,arm_swing,lead_arm_angle,50.0,15.0,154.44412178119836,160.0,175.0,-5.555878218801638,critical,1.5,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,109,85.0
Follow-through,follow_through,deceleration,x_factor,100.0,10.0,10.031361329546883,10.0,20.0,0.0,strength,0.0,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,109,85.0
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-12.800671796993395,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,109,85.0
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,174.39805034981148,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,109,85.0
Finish,finish,symmetry,x_factor,50.0,10.0,10.812762647296125,0.0,6.0,4.812762647296125,critical,0.4,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,122,90.0
Finish,finish,balance,head_displacement,100.0,35.0,0.06477489343621257,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,122,90.0
Finish,finish,posture,spine_angle,100.0,25.0,-2.230525051952616,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,122,90.0
Finish,finish,rotation,hip_rotation,100.0,20.0,168.79790549541872,160.0,175.0,0.0,strength,0.0,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,122,90.0
