phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,45.991124284330716,14.257248528142522,0.1982248568661431,0.9,1.2,-0.7017751431338569,critical,1.674275147185748,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,135,82.19436371908584
Address,address,posture,spine_angle,98.04095807075353,52.942117358206914,10.58771257877394,-5.0,10.0,0.5877125787739406,strength,0.10578826417930925,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,135,82.19436371908584
Address,address,grip,wrist_angle,100.0,15.0,165.66347479025168,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",135,82.19436371908584
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,169.92760707320897,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,161,99.98126687868937
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,4.6852759363474945,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,161,99.98126687868937
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,179.43782366483762,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,161,99.98126687868937
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.01379345027373164,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,161,99.98126687868937
Mid-backswing,mid_backswing,coil,x_factor,90.4622492751308,27.13867478253924,1.618489971005232,2.0,14.0,-0.38151002899476794,strength,0.3719722782698987,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,166,97.11134324271896
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,178.7840975160633,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,166,97.11134324271896
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,166.641244734026,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,166,97.11134324271896
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,165.88836712875306,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,166,97.11134324271896
Top,top,coil,shoulder_rotation,50.0,17.5,178.96337972620088,170.0,185.0,0.0,critical,1.4,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,180,82.25789803115315
Top,top,posture,spine_angle,99.0,19.8,-8.17714455692313,-8.0,12.0,-0.17714455692313003,strength,0.016,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,180,82.25789803115315
Top,top,stability,head_displacement,100.0,25.0,0.04683225311423039,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,180,82.25789803115315
Top,top,wrist_angle,wrist_angle,100.0,20.0,165.17417664511134,130.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,180,82.25789803115315
Mid-downswing,mid_downswing,upper_body_lag,x_factor,75.0,22.5,1.6072138732354233,0.0,5.0,0.0,minor,1.875,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,185,87.5
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,66.66666666666666,9.999999999999998,,75.0,100.0,,moderate,1.2500000000000002,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,185,87.5
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,167.40724744867995,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,185,87.5
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,179.43019239796442,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,185,87.5
Impact,impact,arm_extension,lead_arm_angle,93.21391069281077,27.96417320784323,154.32139106928108,155.0,175.0,-0.6786089307189229,strength,0.6107480376470306,Extend lead arm through strike for compression.,One-arm extension drill: 2 x 8 reps.,187,97.96417320784323
Impact,impact,lag_release,lag_angle,100.0,1.0,169.148260881481,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,187,97.96417320784323
Impact,impact,x_factor_unwind,x_factor,100.0,45.0,5.160392033086396,0.0,18.0,0.0,strength,0.0,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,187,97.96417320784323
Impact,impact,wrist_angle,wrist_angle,100.0,11.0,169.148260881481,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,187,97.96417320784323
Impact,impact,stability,head_displacement,100.0,13.0,0.031027375989652925,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",187,97.96417320784323
Follow-through,follow_through,deceleration,x_factor,50.0,5.0,0.29461030516992537,10.0,20.0,-9.705389694830075,critical,0.25,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,189,85.7021624443274
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-14.413261236153431,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,189,85.7021624443274
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,168.96306495715297,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,189,85.7021624443274
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,179.79480463462394,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,189,85.7021624443274
Finish,finish,symmetry,x_factor,50.0,10.0,12.198720563521277,0.0,6.0,6.198720563521277,critical,0.1,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,209,77.5484217074877
Finish,finish,rotation,hip_rotation,78.43104268133985,15.68620853626797,179.31379146373203,160.0,175.0,4.313791463732031,minor,0.04313791463732031,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,209,77.5484217074877
Finish,finish,balance,head_displacement,100.0,35.0,0.1158021085693853,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,209,77.5484217074877
Finish,finish,posture,spine_angle,100.0,25.0,3.901861287128808,-10.0,12.0,0.0,strength,0.0,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,209,77.5484217074877
