phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,46.727237396194845,14.485443592820403,0.3454474792389686,0.9,1.2,-0.5545525207610313,critical,1.65145564071796,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,2,83.47171630535784
Address,address,posture,spine_angle,100.0,54.0,7.012746706608064,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,2,83.47171630535784
Address,address,grip,wrist_angle,100.0,15.0,166.79058598720948,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",2,83.47171630535784
Takeaway,takeaway,hip_lag,x_factor,66.71245274923194,33.35622637461597,10.665750945015361,1.0,10.0,0.6657509450153611,moderate,1.3315018900307223,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,27,83.34150714882949
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,168.76317299834486,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,27,83.34150714882949
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,170.3920416789646,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,27,83.34150714882949
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.03871553657042804,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,27,83.34150714882949
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,7.672642107624114,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,31,99.96173617230848
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,172.27911942330053,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,31,99.96173617230848
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,165.60273099380956,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,31,99.96173617230848
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,166.5319065312826,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,31,99.96173617230848
Top,top,coil,shoulder_rotation,50.0,17.5,177.16611621766606,170.0,185.0,0.0,critical,1.4,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,42,82.4764777835087
Top,top,posture,spine_angle,100.0,20.0,-5.557225895777791,-8.0,12.0,0.0,strength,0.0,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,42,82.4764777835087
Top,top,stability,head_displacement,100.0,25.0,0.04270484720402726,0.0,3.0,0.0,strength,0.0,Minimize sway and keep head stable at transition.,Head-stability wall reference drill: 2 x 8 reps.,42,82.4764777835087
Top,top,wrist_angle,wrist_angle,100.0,20.0,135.60611147059674,130.0,180.0,0.0,strength,0.0,Preserve wrist set at the top into transition.,Top-to-transition pump drill: 10 reps.,42,82.4764777835087
Mid-downswing,mid_downswing,kinematic_sequence,kinematic_sequence,16.666666666666664,2.4999999999999996,,75.0,100.0,,critical,3.1250000000000004,"Start down with lower body, then torso, then arms.",Step-through sequencing drill: 2 x 8 reps.,47,87.5
Mid-downswing,mid_downswing,lag,lag_angle,100.0,5.0,163.1982673111945,160.0,180.0,0.0,strength,0.0,Retain lag longer before release.,Pump-downswing lag drill: 3 x 6 reps.,47,87.5
Mid-downswing,mid_downswing,hip_rotation,hip_rotation,100.0,50.0,179.8898138688552,170.0,185.0,0.0,strength,0.0,Rotate hips through the downswing instead of sliding.,Chair-hip rotation drill: 2 x 10 reps.,47,87.5
Mid-downswing,mid_downswing,upper_body_lag,x_factor,100.0,30.0,0.04112718577960095,0.0,5.0,0.0,strength,0.0,Let torso follow hips; avoid throwing arms early.,Split-grip transition drill: 2 x 8 reps.,47,87.5
Impact,impact,x_factor_unwind,x_factor,84.88545588459445,38.1984551480675,11.62453933195269,0.0,18.0,0.0,minor,2.0404634555797494,Unwind through impact with chest and hips synced.,Slow-motion impact checkpoints: 10 reps.,51,90.28350735438214
Impact,impact,lag_release,lag_angle,100.0,1.0,172.7401683180408,160.0,180.0,0.0,strength,0.0,"Release lag at impact, not too early.",Impact bag with delayed release feel: 12 reps.,51,90.28350735438214
Impact,impact,wrist_angle,wrist_angle,100.0,11.0,172.7401683180408,150.0,180.0,0.0,strength,0.0,Maintain wrist structure through contact.,Punch-shot impact control drill: 2 x 10 reps.,51,90.28350735438214
Impact,impact,stability,head_displacement,100.0,13.0,0.032674117754763615,0.0,3.0,0.0,strength,0.0,Stabilize head and trunk through impact.,"Impact hold drill: freeze 1s after contact, 10 reps.",51,90.28350735438214
Follow-through,follow_through,deceleration,x_factor,100.0,10.0,15.423109762895706,10.0,20.0,0.0,strength,0.0,Decelerate smoothly after release.,Three-quarter finish hold drill: 8 reps.,54,99.81859287383206
Follow-through,follow_through,posture,spine_angle,100.0,35.0,-24.466938997489805,-30.0,20.0,0.0,strength,0.0,Keep posture as chest rotates to target.,Post-impact posture checkpoints: 10 reps.,54,99.81859287383206
Follow-through,follow_through,arm_swing,lead_arm_angle,100.0,30.0,166.46403082003854,160.0,175.0,0.0,strength,0.0,Allow natural arm fold around the body.,Finish-wrap rehearsal drill: 2 x 8 reps.,54,99.81859287383206
Follow-through,follow_through,rotation,hip_rotation,100.0,25.0,168.0001223779844,165.0,180.0,0.0,strength,0.0,Continue rotating to a complete exit.,Belt-buckle-to-target drill: 2 x 10 reps.,54,99.81859287383206
Finish,finish,posture,spine_angle,74.06611296067837,18.516528240169592,-15.186777407864327,-10.0,12.0,-5.1867774078643265,moderate,0.06483471759830409,Keep stable spine through the finish pose.,Finish mirror holds: 2 x 8 reps.,84,93.20911521461294
Finish,finish,rotation,hip_rotation,98.71603785540003,19.743207571080006,175.25679242892,160.0,175.0,0.25679242891999365,strength,0.0025679242891999366,Complete body rotation fully toward target.,Step-and-turn finish drill: 2 x 8 reps.,84,93.20911521461294
Finish,finish,balance,head_displacement,100.0,35.0,0.08206663744996817,0.0,4.0,0.0,strength,0.0,Finish tall and balanced over lead side.,Finish pose holds: 6 reps x 3s.,84,93.20911521461294
Finish,finish,symmetry,x_factor,100.0,20.0,4.5553282420355,0.0,6.0,0.0,strength,0.0,"Hold a controlled, symmetric finish position.",Count-to-two finish freeze drill: 10 reps.,84,93.20911521461294
