phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,50.0,10.0,1.427675226601352,0.9,1.2,0.22767522660135198,critical,1.0,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,83,68.21012200528507
Address,address,posture,spine_angle,83.81879800981511,29.336579303435286,14.854360597055468,-5.0,10.0,4.854360597055468,minor,0.5663420696564712,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,83,68.21012200528507
Address,address,grip,wrist_angle,50.0,5.0,159.80822253360614,160.0,180.0,-0.19177746639385873,critical,0.5,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",83,68.21012200528507
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,171.2631868037478,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,100,100.0
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,6.929823131669963,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,100,100.0
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,179.36333028757124,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,100,100.0
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.004540359382294482,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,100,100.0
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,50.0,12.5,166.43186966272478,170.0,185.0,-3.568130337275221,critical,0.625,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,105,87.5
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,8.94615966944815,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,105,87.5
Mid-backswing,mid_backswing,wrist_hinge,wrist_angle,100.0,25.0,162.9649684613311,150.0,180.0,0.0,strength,0.0,Set wrists progressively through mid-backswing.,Half-swing hinge checkpoints: 10 reps.,105,87.5
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,100.0,20.0,165.9670910223622,155.0,180.0,0.0,strength,0.0,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,105,87.5
Top,top,coil,shoulder_rotation,100.0,35.0,176.67883076955712,170.0,185.0,0.0,strength,0.0,Reach a full but balanced top turn.,Top-position hold drill: 6 reps x 3s hold.,119,100.0
Top,top,posture,spine_angle,100.0,20.0,5.010641923035122,-8.0,12.0,0.0,strength,0.0,Maintain spine posture at the top without standing up.,Top freeze with posture check: 8 reps.,119,100.0
