phase,phase_key,component,metric_name,raw_score,weighted_score,measured_value,target_min,target_max,delta_from_target,severity,priority_score,cue,drill,key_frame,phase_score
Address,address,weight_distribution,stance_width_ratio,47.997903321661376,9.599580664332276,0.599580664332275,0.9,1.2,-0.30041933566772505,critical,1.0400419335667725,Center pressure between your feet with shoulder-width stance.,Feet-line setup drill: align heels to a marked shoulder-width line.,42,83.89533310627732
Address,address,posture,spine_angle,100.0,35.0,6.628522212829012,-5.0,10.0,0.0,strength,0.0,Set your chest over the ball with a neutral spine and soft knees.,Mirror setup holds: 3 x 20s maintaining neutral posture.,42,83.89533310627732
Address,address,grip,wrist_angle,100.0,10.0,178.63118854315013,160.0,180.0,0.0,strength,0.0,Keep wrists quiet and avoid excessive cupping at setup.,"Setup-and-freeze repetitions: 10 reps, check wrist angle each rep.",42,83.89533310627732
Takeaway,takeaway,shoulder_rotation,shoulder_rotation,100.0,15.0,176.05519554727618,165.0,180.0,0.0,strength,0.0,Start takeaway with one-piece turn from chest and shoulders.,Cross-arm takeaway drill: 2 x 10 slow reps.,62,99.95399800106787
Takeaway,takeaway,hip_lag,x_factor,100.0,50.0,1.9708880980392678,1.0,10.0,0.0,strength,0.0,Let shoulders start first; keep hips quieter early.,Pause-at-P2 drill with hips quiet: 8 reps.,62,99.95399800106787
Takeaway,takeaway,wrist_position,wrist_angle,100.0,15.0,177.50763415341115,160.0,180.0,0.0,strength,0.0,"Allow a gentle hinge, not an abrupt set.",Slow takeaway to shaft-parallel with 2s pause: 10 reps.,62,99.95399800106787
Takeaway,takeaway,club_path,head_displacement,100.0,20.0,0.019489665539778617,0.0,8.0,0.0,strength,0.0,Keep head steady and move club on-plane early.,Alignment-stick takeaway drill: 2 x 8 reps.,62,99.95399800106787
Mid-backswing,mid_backswing,shaft_plane,lead_arm_angle,50.0,10.0,151.10775459586364,155.0,180.0,-3.8922454041363608,critical,1.3,Keep lead arm structure and shaft on a repeatable plane.,Pump-to-top drill with mirror feedback: 8 reps.,67,89.98084365799839
Mid-backswing,mid_backswing,coil,x_factor,100.0,30.0,5.52961396550856,2.0,14.0,0.0,strength,0.0,Increase torso coil while keeping lower body stable.,Resistance-band turn drill: 2 x 10 reps.,67,89.98084365799839
Mid-backswing,mid_backswing,shoulder_rotation,shoulder_rotation,100.0,25.0,172.77054953131696,170.0,185.0,0.0,strength,0.0,Complete shoulder turn to the top without lifting.,Wall-turn drill to feel depth: 2 x 8 reps.,67,89.98084365799839
